## to be used for replicating the Pb isotope clustering only. Please refer to the Polar Data Centre deposit for the final data.
spot_id,208Pb_207Pb_mean,208Pb_207Pb_2SE,206Pb_207Pb_mean,206Pb_207Pb_2SE
GM00_example,2.46,0.000936345,1.19319,0.000641447
GM00_example,2.45648,0.000248584,1.19367,0.000176379
GM00_example,2.42861,0.000189607,1.16553,0.000132801
GM00_example,2.42288,0.000684956,1.16836,0.000618569
GM00_example,2.46013,0.000339533,1.19921,0.000323212
GM00_example,2.42583,0.000190477,1.16391,0.000134786
GM00_example,2.42524,0.000332927,1.16353,0.000185853
GM00_example,2.45911,0.000344552,1.19965,0.000296758
GM00_example,2.42298,0.000502761,1.1658,0.000253502
GM00_example,2.42237,0.000263561,1.1679,0.000169043
GM00_example,2.43642,0.000546056,1.18728,0.000918133
GM00_example,2.4234,0.000132876,1.16433,7.07E-05
GM00_example,2.45651,0.000676508,1.19294,0.000550948
GM00_example,2.4684,0.00230452,1.22323,0.00166082
GM00_example,2.46097,0.001013,1.1976,0.000575406
GM00_example,2.46207,0.000854594,1.19937,0.000449141
GM00_example,2.42417,0.000201598,1.16875,0.00011317
GM00_example,2.42607,0.000278229,1.17345,0.000199699
GM00_example,2.45833,0.000296833,1.1969,0.000160005
GM00_example,2.45617,0.00034546,1.1927,0.000284131
GM00_example,2.46156,0.000278179,1.19369,0.000258474
GM00_example,2.45764,0.000390336,1.19541,0.000224885
GM00_example,2.45853,0.000262555,1.1972,0.000230993
GM00_example,2.45984,0.000850127,1.19456,0.000573033
GM00_example,2.47519,0.00073205,1.2011,0.000424352
GM00_example,2.46137,0.00137907,1.19404,0.00108905
GM00_example,2.42243,0.000604206,1.16417,0.000206952
GM00_example,2.45454,0.000265475,1.19408,0.000168
GM00_example,2.4564,0.000448496,1.19239,0.000270282
GM00_example,2.42461,0.000156463,1.16333,9.06E-05
GM00_example,2.42648,0.000288927,1.17001,0.000265719
GM00_example,2.42161,0.000279818,1.16617,0.000205488
GM00_example,2.42811,0.000489039,1.17285,0.000515321
