spot_id,StdCorr_Rb87_Sr86s_mean,StdCorr_Rb87_Sr86s_2SE(int),StdCorr_Sr87s_Sr86s_mean,StdCorr_Sr87s_Sr86s_2SE(int),87Rb/86Sr - 87Sr/86Sr Rho,87Sr/87Rb - 87Rb/86Sr Rho,Rb85_mean,Na23_ppm_mean,Al27_ppm_mean,Si28_ppm_mean,K39_ppm_mean,Ca43_ppm_mean,Ca44_ppm_mean,Rb85_ppm_mean,Sr86_ppm_mean,Sr87_ppm_mean,Sr88_ppm_mean,Pb208_ppm_mean,Th232_ppm_mean,U238_ppm_mean
NIST610_01,2.33542787,0.02316326,0.709198681,0.008694437,0.345934023,-0.444759572,1402115.055,,,,,,,,,,,,,
NIST610_02,2.319330563,0.023693069,0.709723226,0.007642007,0.376694594,-0.519546098,1692409.253,,,,,,,,,,,,,
NIST610_03,2.337154361,0.024221913,0.710386909,0.007361829,0.153458025,-0.653790626,1808365.786,,,,,,,,,,,,,
NIST610_04,2.332357121,0.030766158,0.708712401,0.009348715,0.324926057,-0.625617233,1874491.556,,,,,,,,,,,,,
NIST610_05,2.330805994,0.030691284,0.709939577,0.008626404,0.431730211,-0.583020472,1872510.279,,,,,,,,,,,,,
NIST610_06,2.318835286,0.031785871,0.711022332,0.009547304,0.449994537,-0.543667413,1744314.485,,,,,,,,,,,,,
NIST610_07,2.332263236,0.029195613,0.708335415,0.009323961,0.313190716,-0.561719981,1778718.155,,,,,,,,,,,,,
NIST610_08,2.340694223,0.025687569,0.710150606,0.008708661,0.439107283,-0.447313226,1842460.501,,,,,,,,,,,,,
NIST610_09,2.314333997,0.027079506,0.708380692,0.009199013,0.364870876,-0.497511248,2128765.549,,,,,,,,,,,,,
NIST610_10,2.32855954,0.025956455,0.709786772,0.007523249,0.129152157,-0.678396206,1995785.775,,,,,,,,,,,,,
NIST610_11,2.332528824,0.023757633,0.711274104,0.007062827,0.305637886,-0.602861763,1967070.493,,,,,,,,,,,,,
NIST610_12,2.3353478,0.022869148,0.708688879,0.007506578,0.456450747,-0.461913109,1902819.159,,,,,,,,,,,,,
NIST610_13,2.328995134,0.023171467,0.710036428,0.006619647,0.364308065,-0.599874902,1832435.853,,,,,,,,,,,,,
NIST610_14,2.326504241,0.022276771,0.708397704,0.007071525,0.334064556,-0.552054419,1803839.406,,,,,,,,,,,,,
NIST610_15,2.33851103,0.021786446,0.710843143,0.006535687,0.156449911,-0.652981529,1891987.368,,,,,,,,,,,,,
NIST610_16,2.319838837,0.026431777,0.709191757,0.006720405,0.310749446,-0.683066185,1721702.684,,,,,,,,,,,,,
FKN_00,82.61478831,1.366773302,1.19461251,0.018851333,0.559449777,-0.433491153,3823406.079,16294.57409,94062.77253,303833.8632,100956.5472,548.940549,636.8123059,823.4619521,28.14415255,47.38318222,26.1619963,197.0756508,2.40E-10,0.30568105
FKN_01,68.67440322,1.932558802,1.159760677,0.080181758,0.368338864,0.105740816,3293693.417,15589.76786,98279.89693,303833.8632,97238.05555,841.895498,700.6683101,792.7812146,32.94783542,54.11403136,28.87008512,193.2000446,0,8.20E-10
FKN_02,78.76596282,1.339862684,1.204323752,0.020818964,0.786392356,-0.259553332,3533569.823,15707.42026,91970.07141,303833.8632,97917.4425,913.8345539,651.9239511,798.2122062,28.59333888,48.47566084,25.10460028,193.7054077,0,0.00061513
FKN_03,73.67872798,1.41401852,1.191995717,0.022110121,0.070927694,-0.301492166,3389031.374,15494.69093,95447.92299,303833.8632,99308.52243,980.2825887,632.1878098,798.943489,30.64103646,51.55953152,26.68466773,182.8650898,0,6.95E-12
FKN_04,77.13455481,1.11673971,1.198138125,0.018851176,0.403414579,-0.489103957,3556444.4,16048.69595,95546.78549,303833.8632,99418.46537,601.1182014,0,808.7935133,29.52755804,50.01928882,25.66285136,186.9986981,0,0
