## to be used for replicating the Rb-Sr processing only. Please refer to the Polar Data Centre deposit for the final data.
spot_id,StdCorr_Rb87_Sr86s_mean,StdCorr_Rb87_Sr86s_2SE(int),StdCorr_Sr87s_Sr86s_mean,StdCorr_Sr87s_Sr86s_2SE(int),87Rb/86Sr - 87Sr/86Sr Rho,87Sr/87Rb - 87Rb/86Sr Rho,Na23_ppm_mean,K39_ppm_mean,Ca43_ppm_mean
GM00_example,0.539119455,0.053651032,0.70216502,0.020110152,-0.217709688,-0.876152371,70231.64953,3241.917508,3858.615055
GM00_example,1.998780524,0.077369287,0.713791882,0.013551907,0.014319126,-0.887965894,65230.07234,8572.603571,8011.644443
GM00_example,3.554566663,0.11425837,0.716171071,0.018284363,0.145641402,-0.765659709,64820.70904,10779.48698,6137.997954
GM00_example,1.943368703,0.141271972,0.711006152,0.018145859,0.300660908,-0.858161355,70473.98653,3640.891479,1257.530589
GM00_example,9.045083304,0.313844,0.732422823,0.014056163,0.153167051,-0.849697429,64369.81157,11325.44376,2984.458043
GM00_example,0.6156331,0.022965328,0.70005021,0.013094661,0.238838381,-0.876299672,63685.63005,9087.08976,3491.475912
GM00_example,2.360536435,0.050592463,0.717724777,0.014334312,0.184320703,-0.723572702,64162.14034,13053.76373,3913.232337
GM00_example,4.897791875,0.225294236,0.725682859,0.014042419,0.213019431,-0.897678457,66006.5083,9701.406861,986.0712276
GM00_example,0.339469507,0.008134131,0.708821671,0.012665181,0.113563833,-0.812610319,62652.49562,13636.94606,4635.264528
GM00_example,1.146289385,0.026043612,0.728932962,0.011602486,0.210102472,-0.777888261,60186.32432,15642.68795,3995.386083
GM00_example,1.224232529,0.038674473,0.712891857,0.01563299,-0.010788789,-0.834945525,68050.88161,7347.787348,1136.816234
GM00_example,0.359844769,0.016143441,0.699311453,0.017112686,0.154525623,-0.870109265,69635.16186,6544.744172,1320.907596
GM00_example,3.958873035,0.140997232,0.710920303,0.013884041,0.206702455,-0.854394518,68998.21144,6794.857956,398.1877615
GM00_example,0.600216484,0.017190853,0.720871158,0.010814695,0.012155642,-0.877849657,51330.23976,7685.486053,43687.77324
GM00_example,0.024485417,0.0048738,0.702189241,0.012302823,-0.108393865,-0.684515524,51375.90093,1549.280219,56196.83755
GM00_example,0.031259339,0.009736589,0.707913057,0.012814598,0.120981471,-0.400875114,48267.5837,1918.021829,64116.64075
GM00_example,0.107276443,0.004093996,0.706328592,0.015129042,0.046314686,-0.868203793,62180.91349,3359.720018,28999.07102
GM00_example,0.907775601,0.067668843,0.714857514,0.016863809,0.105725722,-0.867180478,63675.08459,6452.340881,16102.77319
GM00_example,3.974979928,0.116739613,0.755535216,0.014752132,0.336799355,-0.771212759,57205.13818,20529.84189,6143.521868
GM00_example,0.192877507,0.005788273,0.704458373,0.014024601,0.224662692,-0.80574132,66428.20878,6147.337968,13550.25011
GM00_example,0.015425079,0.002127119,0.696763198,0.010689428,-0.042719624,-0.761864634,61957.21554,2908.582996,31571.17484
GM00_example,0.379369151,0.018334012,0.709679135,0.0121987,0.035736249,-0.915578727,47670.72679,20861.90406,39880.11501
GM00_example,1.645702129,0.082775333,0.710230542,0.010667177,0.412452863,-0.936046257,67842.69641,9367.738507,1871.502181
GM00_example,1.557541598,0.062470815,0.714932895,0.01363866,0.064346661,-0.887704737,61844.48684,16506.50128,1649.841549
GM00_example,0.280081647,0.046557264,0.71502512,0.011518573,-0.146060689,-0.624058128,23830.77209,838.4489871,2306.035426
GM00_example,0.379575152,0.014031583,0.702009262,0.010392929,0.163487439,-0.916157815,63991.22795,11637.47296,2678.98482
GM00_example,0.176657079,0.017214691,0.699668935,0.008697722,0.099860916,-0.84315075,53965.61305,11396.89818,35935.02913
GM00_example,26.69238032,0.6975628,0.81358206,0.016797989,0.507944755,-0.726741381,62060.27223,13699.89295,2142.810035
GM00_example,8.349568381,0.286226282,0.755228546,0.015810608,0.242379107,-0.836479263,70313.51126,7736.660382,3374.579347
GM00_example,0.437043479,0.032647701,0.715543155,0.011813763,0.202476359,-0.956981842,69160.63819,6055.754276,2943.15808
GM00_example,4.448667197,0.105687304,0.739023307,0.014598356,0.400582761,-0.579943717,67783.19972,7029.455906,3819.883804
GM00_example,0.036605915,0.004219536,0.72284507,0.009651385,0.118135712,-0.867478195,50809.09234,4676.93235,58421.29311
GM00_example,0.012571559,0.001496806,0.701597003,0.012300153,0.194931101,-0.843495425,47683.6127,3690.484422,68492.62992
GM00_example,0.136717309,0.005411675,0.702326671,0.010453168,0.262113814,-0.90900286,52062.79134,7922.292398,50023.62598
GM00_example,0.702007545,0.026411139,0.712692359,0.011861807,0.026048734,-0.905585856,34928.14936,36999.41416,44701.6574
GM00_example,0.029819468,0.002494291,0.704462502,0.012171616,0.238385907,-0.904108294,54010.77514,5886.040051,39791.26592
GM00_example,3.165026603,0.083109963,0.719821906,0.01602258,0.245675097,-0.640001788,61753.9718,8066.656768,18083.88967
GM00_example,0.354720805,0.029685532,0.728890863,0.014696139,-0.219368325,-0.805520251,63306.1853,3981.910634,29776.04194
GM00_example,2.593460912,0.059840972,0.708040952,0.013184784,0.114841473,-0.753149676,59057.04112,15304.12756,3086.146598
GM00_example,0.181689943,0.01133937,0.710562999,0.013180065,0.120572838,-0.918901184,47964.83281,12829.32117,47356.89304
GM00_example,0.008382252,0.001149967,0.708105085,0.011444793,-0.101938255,-0.828228512,58233.63952,2765.020114,37392.29146
GM00_example,0.010725141,0.001467283,0.709387792,0.013572002,0.144311257,-0.764178275,72834.38624,1055.208619,285.5090608
GM00_example,2.954371959,0.120398798,0.712826935,0.01454238,0.227370763,-0.864037805,67485.08111,10175.99535,645.0304125
GM00_example,0.143258589,0.004203344,0.708110978,0.013049355,0.210528718,-0.834061558,55560.69438,10211.11128,28048.64669
GM00_example,0.264310539,0.010471704,0.703340405,0.013665337,-0.00882153,-0.881874204,71105.68734,3567.72905,598.4491968
GM00_example,0.023120849,0.001697618,0.698239934,0.013134296,-0.018179486,-0.909605138,56942.72496,3924.478349,38903.98221
GM00_example,0.191224744,0.005009353,0.709065771,0.014104585,0.199450634,-0.826842456,60563.10657,5539.820749,19969.61584
GM00_example,0.042904117,0.001652318,0.709178974,0.011857575,0.140899418,-0.927479818,55884.02283,6498.703649,37179.03826
GM00_example,0.080421305,0.007090403,0.70568425,0.012870358,0.156285559,-0.954880764,59079.70521,8213.095208,21972.32199
GM00_example,0.908750735,0.050418322,0.704944136,0.01225802,0.148245917,-0.908574949,66515.50414,3743.884455,13606.93282
