## to be used for replicating the Rb-Sr processing only. Please refer to the Polar Data Centre deposit for the final data.
spot_id,StdCorr_Rb87_Sr86s_mean,StdCorr_Rb87_Sr86s_2SE(int),StdCorr_Sr87s_Sr86s_mean,StdCorr_Sr87s_Sr86s_2SE(int),87Rb/86Sr - 87Sr/86Sr Rho,87Sr/87Rb - 87Rb/86Sr Rho
BCR_01,0.407344823,0.009364227,0.694045926,0.016447859,0.312989398,-0.549943197
BCR_02,0.418175793,0.00935286,0.709772291,0.014922872,0.069838037,-0.669740025
BCR_03,0.409073878,0.010233981,0.701088734,0.017976842,0.34851717,-0.561302094
BCR_04,0.407910314,0.009191065,0.704479349,0.014925346,0.478326265,-0.570587379
BCR_05,0.417321561,0.008060291,0.707375779,0.015673269,0.313259276,-0.555920088
BCR_06,0.398531446,0.00874136,0.70422864,0.016010954,0.370395322,-0.529140061
BCR_07,0.405816908,0.006921222,0.709152711,0.012199525,0.267110814,-0.631057729
DG2-Fsp_#20004,131.5021886,3.219475818,1.181724241,0.027666526,0.278921812,-0.696142643
DG2-Fsp_#20005,469.1149309,30.64335719,2.338736248,0.136078703,0.862763911,-0.377639658
DG2-Fsp_#20006,49.51924509,0.899130522,0.891206406,0.022549298,0.463920545,-0.430191182
DG2-Fsp_#20007,139.1342355,4.819787786,1.199666018,0.046105233,0.807031997,-0.352976307
DG2-Fsp_#20008,70.03580574,1.80909237,0.938642322,0.024006346,0.405530273,-0.470858898
DG2-Fsp_#20009,1.99334333,0.08466343,0.713243439,0.018046956,0.134614149,-0.799946525
DG2-Fsp_#20010,156.305505,4.923459031,1.310005092,0.047273604,0.572623267,-0.3135359
DG2-Fsp_#20011,206.4355258,9.051279142,1.490268413,0.056324857,0.644121873,-0.432434829
DG2-Fsp_#20012,313.2863378,11.99109603,1.801284924,0.080132956,0.731206848,-0.165615134
DG2-Fsp_#20013,57.55501985,1.851257673,0.928492361,0.023197813,0.114544224,-0.746967286
DG2-Fsp_#20014,97.87851373,2.949548905,1.055567931,0.024989629,0.442330154,-0.61125591
DG2-Fsp_#20015,341.436583,13.90680822,2.047045929,0.088336697,0.730831477,-0.398322893
DG2-Fsp_#20016,111.0711808,5.385941664,1.110109785,0.05002849,0.575833385,-0.540263626
DG2-Fsp_#20017,48.23179189,1.321398619,0.903953652,0.018095137,0.325263268,-0.687931881
DG2-Fsp_#20018,549.1747872,26.34169448,2.674831559,0.124050031,0.858084701,-0.491161483
DG2-Fsp_#20019,57.45243284,1.505111245,0.929248426,0.023819897,0.472997834,-0.609213854
DG2-Fsp_#20020,615.3419307,34.65296681,3.000755618,0.1808857,0.908225376,-0.418703288
DG2-Fsp_#20021,100.6340577,2.507392516,1.053361704,0.02269145,0.335149466,-0.693674875
DG2-Fsp_#20022,149.7974246,4.246316168,1.272481049,0.042659596,0.624763557,-0.326440035
DG2-Fsp_#20023,5.663846564,0.18441128,0.73030177,0.013290609,0.327406535,-0.819284971
DG2-Fsp_#20025,299.1192706,12.73113331,1.725930364,0.072069832,0.60149321,-0.443249117
