spot_id,short_core_name,core_id,lat,lon,measure_duration_s,208Pb_206Pb_mean,208Pb_206Pb_2SE,207Pb_206Pb_mean,207Pb_206Pb_2SE,208Pb_207Pb_mean,208Pb_207Pb_2SE,206Pb_207Pb_mean,206Pb_207Pb_2SE,208Pb_204Pb_mean,208Pb_204Pb_2SE,207Pb_204Pb_mean,207Pb_204Pb_2SE,206Pb_204Pb_mean,206Pb_204Pb_2SE
GM09_NBP2002-34MC_#10005,34MC,NBP2002-34MC,-74.636552,-106.175758,37.5559,2.06165,0.000475476,0.838093,0.000450204,2.46,0.000936345,1.19319,0.000641447,38.5076,0.085358,15.6524,0.034496,18.6764,0.0417145
GM09_NBP2002-34MC_#10006,34MC,NBP2002-34MC,-74.636552,-106.175758,55.5,2.05796,0.000251167,0.837755,0.00012377,2.45648,0.000248584,1.19367,0.000176379,38.4587,0.0409559,15.6562,0.0165679,18.6885,0.0202363
GM09_NBP2002-34MC_#10007,34MC,NBP2002-34MC,-74.636552,-106.175758,55.5,2.08366,0.000234515,0.85798,9.78E-05,2.42861,0.000189607,1.16553,0.000132801,37.9618,0.0343357,15.6342,0.0148815,18.2154,0.0153442
GM09_NBP2002-34MC_#10008,34MC,NBP2002-34MC,-74.636552,-106.175758,56.6087,2.07374,0.000739558,0.855901,0.000452937,2.42288,0.000684956,1.16836,0.000618569,37.853,0.131409,15.6306,0.0551314,18.2533,0.0646511
GM09_NBP2002-34MC_#10009,34MC,NBP2002-34MC,-74.636552,-106.175758,55.5,2.0513,0.000512635,0.833882,0.000224689,2.46013,0.000339533,1.19921,0.000323212,38.5177,0.058007,15.657,0.0232863,18.7775,0.029085
GM09_NBP2002-34MC_#10010,34MC,NBP2002-34MC,-74.636552,-106.175758,55.5,2.08419,0.000271505,0.859173,9.95E-05,2.42583,0.000190477,1.16391,0.000134786,37.9185,0.0146351,15.63,0.00560367,18.1929,0.00665114
GM09_NBP2002-34MC_#10011,34MC,NBP2002-34MC,-74.636552,-106.175758,52.8489,2.08452,0.000202292,0.859452,0.000137286,2.42524,0.000332927,1.16353,0.000185853,37.8908,0.0362222,15.6272,0.0148621,18.1773,0.0178542
GM09_NBP2002-34MC_#10012,34MC,NBP2002-34MC,-74.636552,-106.175758,56.4608,2.05002,0.000308991,0.83358,0.000206156,2.45911,0.000344552,1.19965,0.000296758,38.5117,0.0720935,15.6556,0.030598,18.7866,0.0342091
GM09_NBP2002-34MC_#10013,34MC,NBP2002-34MC,-74.636552,-106.175758,29.7224,2.07845,0.000455529,0.857778,0.000186517,2.42298,0.000502761,1.1658,0.000253502,37.9279,0.15273,15.6683,0.0687571,18.2466,0.0723608
GM09_NBP2002-34MC_#10014,34MC,NBP2002-34MC,-74.636552,-106.175758,52.3917,2.0742,0.000276579,0.856237,0.00012393,2.42237,0.000263561,1.1679,0.000169043,37.8616,0.0358866,15.6297,0.0150831,18.2543,0.0180734
GM09_NBP2002-34MC_#10015,34MC,NBP2002-34MC,-74.636552,-106.175758,55.5,2.05228,0.00101416,0.842166,0.000626645,2.43642,0.000546056,1.18728,0.000918133,38.1876,0.0470723,15.6736,0.0170851,18.5998,0.0267577
GM09_NBP2002-34MC_#10016,34MC,NBP2002-34MC,-74.636552,-106.175758,55.5,2.0813,0.000134744,0.85886,5.21E-05,2.4234,0.000132876,1.16433,7.07E-05,37.8695,0.0170372,15.6281,0.00766735,18.1928,0.00905724
