spot_id,StdCorr_Rb87_Sr86s_mean,StdCorr_Rb87_Sr86s_2SE(int),StdCorr_Sr87s_Sr86s_mean,StdCorr_Sr87s_Sr86s_2SE(int),87Rb/86Sr - 87Sr/86Sr Rho,87Sr/87Rb - 87Rb/86Sr Rho,Rb85_mean,Na23_ppm_mean,Al27_ppm_mean,Si28_ppm_mean,K39_ppm_mean,Ca43_ppm_mean,Ca44_ppm_mean,Rb85_ppm_mean,Sr86_ppm_mean,Sr87_ppm_mean,Sr88_ppm_mean,Pb208_ppm_mean,Th232_ppm_mean,U238_ppm_mean,StdCorr_Rb87_Sr86s_mean_calibr,ext_sys_errs_2rs_partial_sum_sq,session,grain_name,sample_name,replicate,group,age,age_2s_int,err2s_ext
GM09_NBP2002-34MC_#20005,7.254360764,0.168236999,0.730631336,0.014799341,0.364403047,-0.639749728,1509331.751,20748.70431,106871.173,303833.8632,106022.9299,546.0195487,364.1810689,531.3089873,207.0844271,212.1137652,194.0111747,27.09779746,0,0,6.964569930739629,0.002646397830715623,1,GM09_NBP2002-34MC_#00005,NBP2002-34MC,0,C,226.7908714440296,143.71841432102306,144.1911845569892
GM09_NBP2002-34MC_#20006,3.987183769,0.085438655,0.720987579,0.015108732,0.270963657,-0.549442882,1507390.281,9005.054438,107097.7256,303833.8632,127001.09,817.6045032,564.5192541,507.3055217,359.9202364,361.3640128,339.3301641,40.56126515,3.34e-9,0.001672479,3.827907253209017,0.002646397830715623,1,GM09_NBP2002-34MC_#00006,NBP2002-34MC,0,C,239.77044243726456,268.95685855185906,269.2395454168741
GM09_NBP2002-34MC_#20008,57.81828366,2.321510335,1.071527928,0.048303641,-0.031931825,-0.289769652,1105233.144,15069.07969,108257.352,303833.8632,118791.5028,1085.348857,663.1435189,372.3284141,18.43411768,27.50298456,16.99646053,8.603333264,0,0,55.50860963845641,0.002646397830715623,1,GM09_NBP2002-34MC_#00008,NBP2002-34MC,0,A,449.07520461165825,62.625977051371095,66.75109127814072
GM09_NBP2002-34MC_#20009,21.65270902,0.499122615,0.765621641,0.019809627,0.315195819,-0.528674471,2280518.973,18897.32368,108473.0511,303833.8632,111876.2085,793.3883052,443.6793232,752.1011834,98.50903002,105.6774675,90.47952226,45.73184401,4.06e-8,1.13728e-4,20.787745614762585,0.002646397830715623,1,GM09_NBP2002-34MC_#00009,NBP2002-34MC,0,C,191.50471323384,64.05178761239995,64.80498157120643
GM09_NBP2002-34MC_#20010,6.737473376,0.143115638,0.752952974,0.013391497,0.349255175,-0.672187503,1845033.971,6649.604545,110752.479,303833.8632,132788.8137,343.8958139,168.2719054,644.7640152,270.8510837,286.1896959,250.5315356,97.30879409,0,0.207160442,6.468330706202029,0.002646397830715623,1,GM09_NBP2002-34MC_#00010,NBP2002-34MC,0,A,480.08464376688397,138.08500574013524,140.27620585989692
GM09_NBP2002-34MC_#20011,3.944294682,0.086177955,0.733543514,0.015156219,0.287423767,-0.643326602,1071940.492,5364.585033,109975.5278,303833.8632,136712.5133,551.9511792,279.0518527,382.5368327,274.6976043,283.0335808,254.0404508,45.40412658,6.19e-7,3.4e-7,3.786731461792714,0.002646397830715623,1,GM09_NBP2002-34MC_#00011,NBP2002-34MC,0,A,469.07891180874816,270.4634992905924,271.5378512522456
GM09_NBP2002-34MC_#20013,9.34559848,0.573827234,0.777239206,0.016867934,0.672081009,-0.612479097,667931.6871,13484.52066,110906.3444,303833.8632,116895.965,1983.692726,1469.439474,250.6982405,75.91655094,82.39664967,71.06913732,22.96310136,0,2.77e-5,8.972268718916718,0.002646397830715623,1,GM09_NBP2002-34MC_#00013,NBP2002-34MC,0,A,531.2836040097113,109.07010470961825,112.44227850236254
GM09_NBP2002-34MC_#20014,94.63015319,10.87379017,1.341821671,0.088241016,0.598312997,-0.628471357,1409421.917,5146.013709,110194.5134,303833.8632,140054.8057,434.0362365,156.6655754,470.0978916,16.877017210000002,28.97081094,16.00655934,9.810224829,7.5e-6,0,90.84995093143934,0.002646397830715623,1,GM09_NBP2002-34MC_#00014,NBP2002-34MC,0,A,478.0753155208855,55.220596521265065,60.449684880134846
GM09_NBP2002-34MC_#20015,7.716776416,0.119334784,0.75140608,0.012351811,0.335293227,-0.469644245,1360887.302,4997.645126,106749.9897,303833.8632,137610.0895,1495.544117,1207.993695,455.255746,165.8684584,174.891916,154.6202359,68.8540317,0,4.16129e-4,7.408513408351679,0.002646397830715623,1,GM09_NBP2002-34MC_#00015,NBP2002-34MC,0,X,405.0724940532352,111.9746285121557,113.89709498267055
GM09_NBP2002-34MC_#20016,44.95795163,1.487031245,1.015333557,0.027861589,0.291974449,-0.678023059,1519139.009,6423.497337,110720.366,303833.8632,134502.5958,965.2303859,750.1781301,505.1131793,31.92864213,45.54105763,29.49384968,95.02024266,1.05977e-4,0,43.162010858872236,0.002646397830715623,1,GM09_NBP2002-34MC_#00016,NBP2002-34MC,0,A,488.22119021039236,42.25741588419473,49.157750156012675
GM09_NBP2002-34MC_#20017,3.193724788,0.089100665,0.711967744,0.01267198,0.618662247,-0.661112863,1516006.924,7304.775733,106437.3948,303833.8632,133637.7377,839.7488352,641.1603038,439.6240272,388.6642888,392.4539,358.9666061,21.6886715,0,0,3.0661446747925476,0.002646397830715623,1,GM09_NBP2002-34MC_#00017,NBP2002-34MC,0,C,97.63962630708193,281.91729816477954,281.962040759599
GM09_NBP2002-34MC_#20019,8.59423804,0.254176494,0.730107082,0.012407987,0.290507156,-0.852922281,1764410.836,12754.56325,107247.1991,303833.8632,123057.8335,649.3654874,456.8069325,574.0241945,188.3888241,191.5722095,172.583571,32.42375466,0,4.37561e-4,8.25092296595393,0.002646397830715623,1,GM09_NBP2002-34MC_#00019,NBP2002-34MC,0,C,187.12609944312138,101.59441432580763,102.04945740817146
GM09_NBP2002-34MC_#20020,2.472326975,0.064545071,0.717773873,0.013371229,0.312778801,-0.748566431,1230007.532,24585.95045,106459.1061,303833.8632,93707.62536,2466.862864,2464.654694,376.996002,432.4151216,435.6911906,398.8617221,34.8722375,2.1063e-4,0,2.373564628118551,0.002646397830715623,1,GM09_NBP2002-34MC_#00020,NBP2002-34MC,0,D,293.6948374885885,383.1759101831699,383.4736595597825
GM09_NBP2002-34MC_#20021,4.929658196,0.088423899,0.740478714,0.013279042,0.280215341,-0.615558301,1314986.336,8860.153246,108619.9722,303833.8632,126820.7347,1020.94935,695.6580839,480.3634363,275.0648472,286.4556607,250.9125836,110.31812,0,3.46e-5,4.732732539449119,0.002646397830715623,1,GM09_NBP2002-34MC_#00021,NBP2002-34MC,0,A,475.65508097665963,189.3092516302366,190.8840860932069
GM09_NBP2002-34MC_#20022,15.49159239,0.245436291,0.786811507,0.016812033,0.054299641,-0.072922298,1195199.861,3543.890854,107889.7743,303833.8632,140949.4848,576.7074927,315.810905,389.4433831,71.00057572,78.43972222,64.6513203,57.26609844,0,0,14.872747861408794,0.002646397830715623,1,GM09_NBP2002-34MC_#00022,NBP2002-34MC,0,A,364.9916137964749,77.17910319410446,79.4302468834822
GM09_NBP2002-34MC_#20023,5.770505895,0.119105391,0.718030348,0.015003127,0.33453864,-0.582940218,1515198.571,9004.054103,109822.3605,303833.8632,128637.2933,605.0402708,440.2350232,540.3927254,264.765631,266.9417983,243.1703328,45.22341751,2.12976e-4,2.46e-6,5.53999079297413,0.002646397830715623,1,GM09_NBP2002-34MC_#00023,NBP2002-34MC,0,C,129.15418879764997,184.87466179685657,184.994012387707
